Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/15/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,AUS,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,3.090529041,2.792618398,3.14492325,3.473815246,3.708591856,4.643527251,4.846593543,5.584824481,6.423086672,6.330870394,6.315477161,8.836919486,11.87486662,12.76315828,13.61313021,14.1659178,12.2444724,11.13926396,16.00640297,18.21982862,23.15693871,24.35702705,26.91108933,22.82888029,20.93769507,17.33031712,17.39474729,21.45436229,23.16558078,22.99979274,22.17236068,18.72537996,19.05253612,19.06438287,19.69421101,19.65591466,19.42212715,21.8804272,21.66596195,21.65209623,20.94319396,21.29230762,26.73189685,25.48688899,24.4223209,34.26717454,31.98203885,30.82319977,29.88328634,30.35744296,27.32312622,28.01940925,26.86441582,27.65392091,22.57156594,24.4488907,20.15633533,
Austria,AUT,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,2.352345715,2.996829695,3.321868921,3.416796377,3.191946821,3.002992346,2.518273458,2.542447599,2.038540087,1.994948724,2.166289753,2.044556314,2.089006539,1.880161387,1.941623277,1.568401568,1.439499622,1.568812245,1.74027377,1.533035994,1.40389829,1.488556749,2.022245438,1.21354689,1.763830757,1.275737183,1.254739967,0.992832526,0.914191752,1.055190829,1.125614701,1.313185739,1.027258857,1.254191814,1.256077205,1.050247101,1.194424862,1.273292029,1.876546594,2.275723023,2.562378645,3.173692617,4.636414463,5.278911124,2.674997451,3.375867295,3.456456577,3.218493744,3.371344946,3.624504386,2.65838462,2.386195601,1.96798511,1.705897762,1.869906974,2.047785859,2.179415336,
Azerbaijan,AZE,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.39021652,61.44838123,68.931057,78.59607586,85.08093842,91.32822862,88.92237479,86.01067066,82.21596106,76.7646114,84.59134206,81.39896585,97.08278487,92.85686298,94.50949632,94.74739396,93.41935678,92.98503898,92.63841257,88.28540569,91.54057539,91.11927273,92.22245428,91.23935371,
Burundi,BDI,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,0.005551244,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022287002,,,,,,,,,,0.649256943,0.012504214,0.064255629,0,5.729812,1.396358139,1.878585239,2.324349715,0.03621768,0.009361122,0.000467857,0.039931806,0.005387805,0,0.001376875,0.032827599,,
Belgium,BEL,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,3.810327816,4.493404592,3.929072966,3.241171439,2.772784161,2.775064801,3.1194529,3.30144183,2.667353416,2.68136877,2.904667458,2.851852505,3.333554543,4.842615925,4.796044369,5.372709171,4.269222625,6.286865034,8.301193099,8.982651226,8.589350782,8.309233742,7.812220273,6.451048806,4.801830561,3.686857494,3.524373363,3.38797232,3.430935489,3.82730144,3.42254323,3.350117948,2.963115201,2.564943847,3.158706802,2.883399941,2.416942988,2.886215464,4.527983726,4.0052681,4.331738727,5.293962864,5.632358057,6.987596449,7.876634577,7.008900559,9.200623673,7.458383296,8.791204827,10.75099697,11.46654999,12.90739843,11.33667661,8.370263043,6.809916226,7.996571395,9.035630463,7.677550182,
Benin,BEN,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,0.117962927,0.105524532,0.127987683,0.134450674,0.208814319,0.067484708,0.077720656,0.081371818,0.152456259,0.013171839,0.019950042,0.013583675,4.864261984,,,,,2.270102034,4.203018097,,3.92913016,,,,,,,,,,14.5050372,9.01080743,6.730111828,5.415670117,4.384084943,1.788459725,1.197415607,0.665815365,,0.010009294,0.245831838,0,0,0,0.393061422,3.066382864,0.266725847,0.007979119,0.010728003,0.105566632,0.005118762,0.002370158,0.254303759,3.725170096,0.046990113,2.578613066,0.004397838,3.064828152,
Burkina Faso,BFA,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,0.205041138,0.18511853,0.110452375,0.005970015,0.089027602,0.015953289,0.015988703,0.006441547,0.010791428,0.023398884,0.024010836,0.515611778,0.014863748,0.001440367,,0.056354739,0.139081786,0.575745956,0.114979794,0.170724771,0.004238374,0.001828973,,,,,,,,,,,,0.110918168,0.154284569,1.645838448,1.140738518,1.104342141,3.217924986,2.940357435,0.002819049,0.041422676,0.044905843,0.020282251,,0.004514983,0.031538528,0.022492757,0.052281948,0.018307717,10.42187021,11.61077764,11.73303093,0.029129375,1.096857367,1.345035614,2.409393395,,
Bangladesh,BGD,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,1.534776128,1.210929296,,0.000883885,0.001754972,2.236837098,3.715179287,1.877380972,2.545890922,1.734343609,0.8663757,1.111794636,1.227626711,1.278832738,2.062247472,0.893245569,0.855248611,0.475965232,0.449813472,0.26792349,0.382926323,0.222245801,,0.229218459,0.156088285,0.305510456,0.323339463,0.468685482,0.579411123,0.761461123,1.623045043,1.410664172,1.726703219,1.873404523,1.151975632,1.675285153,1.135842763,,0.561579807,,,,,
Bulgaria,BGR,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.506962566,7.5843313,6.233163747,6.989948437,11.65483744,8.949586445,5.990776394,5.794927661,7.977800743,10.36870745,13.27591022,14.60917972,16.06783597,12.60084253,13.29811795,13.10126979,16.21001343,14.75178773,11.166175,9.059197072,8.240948357,9.158254015,8.136382715,9.073883091,
Bahrain,BHR,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,77.87215097,81.41452957,78.28150084,80.62253411,84.47690923,81.45615271,78.95787481,78.63228041,79.65928143,0.727744592,0.290528101,0.213286222,0.129751979,0.057021754,0.175614336,0.072613676,0.034291311,0.00424573,0.003700127,0.004304551,0.004427745,0.032088902,0.025898214,0.00933351,55.54908803,53.12921771,0.017637078,,,,0.03992076,66.93353732,69.36640397,72.5181646,75.54461779,78.15928027,80.5901159,80.83024976,69.06259078,68.60204297,74.3474764,71.84392274,64.14880278,59.00503373,66.83465476,50.35769091,45.02094057,50.18647654,53.40434965,,
